models/RNTN_wvecDim_30_step_10e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 341 : Cost=32.7654, ExpCost=33.8606.
Iter 342 : Cost=35.2191, ExpCost=33.8742.
Iter 343 : Cost=37.5184, ExpCost=33.9106.
Iter 344 : Cost=31.9150, ExpCost=33.8907.
Iter 345 : Cost=33.3600, ExpCost=33.8854.
Iter 346 : Cost=29.6451, ExpCost=33.8430.
Iter 347 : Cost=34.7622, ExpCost=33.8522.
Iter 348 : Cost=34.9905, ExpCost=33.8636.
Iter 349 : Cost=31.3246, ExpCost=33.8382.
Iter 350 : Cost=28.6194, ExpCost=33.7860.
Iter 351 : Cost=31.1450, ExpCost=33.7596.
Iter 352 : Cost=33.2182, ExpCost=33.7541.
Iter 353 : Cost=41.1107, ExpCost=33.8277.
Iter 354 : Cost=32.5715, ExpCost=33.8152.
Iter 355 : Cost=34.6793, ExpCost=33.8238.
Iter 356 : Cost=26.3952, ExpCost=33.7495.
Iter 357 : Cost=32.2337, ExpCost=33.7343.
Iter 358 : Cost=30.9703, ExpCost=33.7067.
Iter 359 : Cost=30.4268, ExpCost=33.6739.
Iter 360 : Cost=38.3423, ExpCost=33.7206.
Iter 361 : Cost=31.3772, ExpCost=33.6972.
Iter 362 : Cost=31.5230, ExpCost=33.6754.
Iter 363 : Cost=32.7695, ExpCost=33.6664.
Iter 364 : Cost=33.0605, ExpCost=33.6603.
Iter 365 : Cost=35.7504, ExpCost=33.6812.
Iter 366 : Cost=34.5361, ExpCost=33.6898.
Iter 367 : Cost=32.7351, ExpCost=33.6802.
Iter 368 : Cost=34.0133, ExpCost=33.6835.
Iter 369 : Cost=34.4552, ExpCost=33.6913.
Iter 370 : Cost=31.8234, ExpCost=33.6726.
Iter 371 : Cost=30.1729, ExpCost=33.6376.
Iter 372 : Cost=34.4712, ExpCost=33.6459.
Iter 373 : Cost=31.1571, ExpCost=33.6210.
Iter 374 : Cost=30.3275, ExpCost=33.5881.
Iter 375 : Cost=32.4544, ExpCost=33.5768.
Iter 376 : Cost=32.5204, ExpCost=33.5662.
Iter 377 : Cost=34.2513, ExpCost=33.5730.
Iter 378 : Cost=37.2669, ExpCost=33.6100.
Iter 379 : Cost=30.7940, ExpCost=33.5818.
Iter 380 : Cost=31.7475, ExpCost=33.5635.
Iter 381 : Cost=33.7047, ExpCost=33.5649.
Iter 382 : Cost=39.7297, ExpCost=33.6265.
Iter 383 : Cost=34.7536, ExpCost=33.6378.
Iter 384 : Cost=30.9477, ExpCost=33.6109.
Iter 385 : Cost=32.0426, ExpCost=33.5952.
Iter 386 : Cost=33.1440, ExpCost=33.5907.
Iter 387 : Cost=34.1757, ExpCost=33.5966.
Iter 388 : Cost=36.8339, ExpCost=33.6289.
Iter 389 : Cost=34.0755, ExpCost=33.6334.
Iter 390 : Cost=31.1503, ExpCost=33.6086.
Iter 391 : Cost=35.9244, ExpCost=33.6317.
Iter 392 : Cost=30.9191, ExpCost=33.6046.
Iter 393 : Cost=30.1823, ExpCost=33.5704.
Iter 394 : Cost=35.8053, ExpCost=33.5927.
Iter 395 : Cost=37.2877, ExpCost=33.6297.
Iter 396 : Cost=31.7458, ExpCost=33.6108.
Iter 397 : Cost=31.5100, ExpCost=33.5898.
Iter 398 : Cost=26.6919, ExpCost=33.5209.
Iter 399 : Cost=36.8099, ExpCost=33.5537.
Iter 400 : Cost=27.1422, ExpCost=33.4896.
Iter 401 : Cost=37.8749, ExpCost=33.5335.
Iter 402 : Cost=31.5100, ExpCost=33.5132.
Iter 403 : Cost=33.7123, ExpCost=33.5152.
Iter 404 : Cost=26.9337, ExpCost=33.4494.
Iter 405 : Cost=27.1325, ExpCost=33.3863.
Iter 406 : Cost=31.2419, ExpCost=33.3648.
Iter 407 : Cost=34.4311, ExpCost=33.3755.
Iter 408 : Cost=31.2564, ExpCost=33.3543.
Iter 409 : Cost=32.5747, ExpCost=33.3465.
Iter 410 : Cost=31.3506, ExpCost=33.3265.
Iter 411 : Cost=30.8670, ExpCost=33.3019.
Iter 412 : Cost=36.2333, ExpCost=33.3312.
Iter 413 : Cost=35.0171, ExpCost=33.3481.
Iter 414 : Cost=25.8171, ExpCost=33.2728.
Iter 415 : Cost=32.3274, ExpCost=33.2633.
Iter 416 : Cost=37.5021, ExpCost=33.3057.
Iter 417 : Cost=34.8165, ExpCost=33.3208.
Iter 418 : Cost=32.3980, ExpCost=33.3116.
Iter 419 : Cost=31.9412, ExpCost=33.2979.
Iter 420 : Cost=32.3542, ExpCost=33.2885.
Iter 421 : Cost=27.4049, ExpCost=33.2296.
Iter 422 : Cost=28.1555, ExpCost=33.1789.
Iter 423 : Cost=39.6377, ExpCost=33.2435.
Iter 424 : Cost=31.0841, ExpCost=33.2219.
Iter 425 : Cost=27.9454, ExpCost=33.1691.
Iter 426 : Cost=36.8723, ExpCost=33.2061.
Iter 427 : Cost=29.2927, ExpCost=33.1670.
Iter 428 : Cost=30.4259, ExpCost=33.1396.
Iter 429 : Cost=29.2227, ExpCost=33.1004.
Iter 430 : Cost=34.3874, ExpCost=33.1133.
Iter 431 : Cost=26.7658, ExpCost=33.0498.
Iter 432 : Cost=36.5426, ExpCost=33.0848.
Iter 433 : Cost=32.8968, ExpCost=33.0829.
Iter 434 : Cost=30.6169, ExpCost=33.0582.
Iter 435 : Cost=32.1368, ExpCost=33.0490.
Iter 436 : Cost=31.6006, ExpCost=33.0345.
Iter 437 : Cost=33.8154, ExpCost=33.0423.
Iter 438 : Cost=29.2953, ExpCost=33.0049.
Iter 439 : Cost=31.9713, ExpCost=32.9945.
Iter 440 : Cost=41.3434, ExpCost=33.0780.
Iter 441 : Cost=30.4782, ExpCost=33.0520.
Iter 442 : Cost=37.2228, ExpCost=33.0937.
Iter 443 : Cost=34.1260, ExpCost=33.1040.
Iter 444 : Cost=35.2890, ExpCost=33.1259.
Iter 445 : Cost=30.2767, ExpCost=33.0974.
Iter 446 : Cost=31.7951, ExpCost=33.0844.
Iter 447 : Cost=34.2613, ExpCost=33.0961.
Iter 448 : Cost=36.2078, ExpCost=33.1273.
Iter 449 : Cost=34.7626, ExpCost=33.1436.
Iter 450 : Cost=33.0469, ExpCost=33.1427.
Iter 451 : Cost=33.8898, ExpCost=33.1501.
Iter 452 : Cost=33.3203, ExpCost=33.1518.
Iter 453 : Cost=32.1941, ExpCost=33.1422.
Iter 454 : Cost=37.8525, ExpCost=33.1893.
Iter 455 : Cost=33.8354, ExpCost=33.1958.
Iter 456 : Cost=29.4168, ExpCost=33.1580.
Iter 457 : Cost=34.2013, ExpCost=33.1685.
Iter 458 : Cost=36.1640, ExpCost=33.1984.
Iter 459 : Cost=34.1752, ExpCost=33.2082.
Iter 460 : Cost=32.3693, ExpCost=33.1998.
Iter 461 : Cost=31.7479, ExpCost=33.1853.
Iter 462 : Cost=28.2314, ExpCost=33.1357.
Iter 463 : Cost=38.4179, ExpCost=33.1886.
Iter 464 : Cost=30.9429, ExpCost=33.1661.
Iter 465 : Cost=29.5679, ExpCost=33.1301.
Iter 466 : Cost=30.1116, ExpCost=33.0999.
Iter 467 : Cost=33.9771, ExpCost=33.1087.
Iter 468 : Cost=30.0451, ExpCost=33.0781.
Iter 469 : Cost=37.1729, ExpCost=33.1190.
Iter 470 : Cost=33.6502, ExpCost=33.1243.
Iter 471 : Cost=32.0871, ExpCost=33.1140.
Iter 472 : Cost=31.6764, ExpCost=33.0996.
Iter 473 : Cost=34.4545, ExpCost=33.1131.
Iter 474 : Cost=31.7174, ExpCost=33.0992.
Iter 475 : Cost=32.1362, ExpCost=33.0895.
Iter 476 : Cost=25.5862, ExpCost=33.0145.
Iter 477 : Cost=27.4202, ExpCost=32.9586.
Iter 478 : Cost=29.2878, ExpCost=32.9219.
Iter 479 : Cost=35.8209, ExpCost=32.9508.
Iter 480 : Cost=31.9853, ExpCost=32.9412.
Iter 481 : Cost=40.2261, ExpCost=33.0140.
Iter 482 : Cost=34.0149, ExpCost=33.0240.
