models/RNTN_wvecDim_30_step_5e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 200 : Cost=33.9246, ExpCost=37.0455.
Iter 201 : Cost=32.3066, ExpCost=36.9981.
Iter 202 : Cost=31.5376, ExpCost=36.9435.
Iter 203 : Cost=33.1966, ExpCost=36.9060.
Iter 204 : Cost=30.8155, ExpCost=36.8451.
Iter 205 : Cost=26.2103, ExpCost=36.7388.
Iter 206 : Cost=27.8770, ExpCost=36.6501.
Iter 207 : Cost=28.2083, ExpCost=36.5657.
Iter 208 : Cost=29.0422, ExpCost=36.4905.
Iter 209 : Cost=30.0083, ExpCost=36.4257.
Iter 210 : Cost=32.2519, ExpCost=36.3839.
Iter 211 : Cost=34.2478, ExpCost=36.3626.
Iter 212 : Cost=29.0679, ExpCost=36.2896.
Iter 213 : Cost=33.3073, ExpCost=36.2598.
Iter 214 : Cost=37.9712, ExpCost=36.2769.
Iter 215 : Cost=29.6963, ExpCost=36.2111.
Iter 216 : Cost=32.1493, ExpCost=36.1705.
Iter 217 : Cost=33.4110, ExpCost=36.1429.
Iter 218 : Cost=31.9217, ExpCost=36.1007.
Iter 219 : Cost=39.0574, ExpCost=36.1302.
Iter 220 : Cost=29.1715, ExpCost=36.0607.
Iter 221 : Cost=29.7307, ExpCost=35.9974.
Iter 222 : Cost=31.4787, ExpCost=35.9522.
Iter 223 : Cost=32.4215, ExpCost=35.9169.
Iter 224 : Cost=29.5978, ExpCost=35.8537.
Iter 225 : Cost=26.5890, ExpCost=35.7610.
Iter 226 : Cost=26.1055, ExpCost=35.6645.
Iter 227 : Cost=28.1238, ExpCost=35.5891.
Iter 228 : Cost=26.6479, ExpCost=35.4997.
Iter 229 : Cost=25.9048, ExpCost=35.4037.
Iter 230 : Cost=31.3741, ExpCost=35.3634.
Iter 231 : Cost=32.6703, ExpCost=35.3365.
Iter 232 : Cost=32.2187, ExpCost=35.3053.
Iter 233 : Cost=30.0659, ExpCost=35.2529.
Iter 234 : Cost=25.5992, ExpCost=35.1564.
Iter 235 : Cost=38.1746, ExpCost=35.1866.
Iter 236 : Cost=29.1483, ExpCost=35.1262.
Iter 237 : Cost=28.9804, ExpCost=35.0647.
Iter 238 : Cost=27.5872, ExpCost=34.9899.
Iter 239 : Cost=30.1677, ExpCost=34.9417.
Iter 240 : Cost=32.8438, ExpCost=34.9207.
Iter 241 : Cost=29.5986, ExpCost=34.8675.
Iter 242 : Cost=29.6845, ExpCost=34.8157.
Iter 243 : Cost=33.2665, ExpCost=34.8002.
Iter 244 : Cost=34.9565, ExpCost=34.8018.
Iter 245 : Cost=30.7753, ExpCost=34.7615.
Iter 246 : Cost=28.1835, ExpCost=34.6957.
Iter 247 : Cost=33.5361, ExpCost=34.6841.
Iter 248 : Cost=30.0735, ExpCost=34.6380.
Iter 249 : Cost=33.5534, ExpCost=34.6272.
Iter 250 : Cost=27.4338, ExpCost=34.5552.
Iter 251 : Cost=31.3623, ExpCost=34.5233.
Iter 252 : Cost=28.5974, ExpCost=34.4640.
Iter 253 : Cost=33.3715, ExpCost=34.4531.
Iter 254 : Cost=38.3791, ExpCost=34.4924.
Iter 255 : Cost=32.3637, ExpCost=34.4711.
Iter 256 : Cost=34.1566, ExpCost=34.4679.
Iter 257 : Cost=32.3438, ExpCost=34.4467.
Iter 258 : Cost=31.1020, ExpCost=34.4133.
Iter 259 : Cost=35.3670, ExpCost=34.4228.
Iter 260 : Cost=28.4202, ExpCost=34.3628.
Iter 261 : Cost=31.4952, ExpCost=34.3341.
Iter 262 : Cost=26.2024, ExpCost=34.2528.
Iter 263 : Cost=33.1286, ExpCost=34.2415.
Iter 264 : Cost=27.9009, ExpCost=34.1781.
Iter 265 : Cost=40.4638, ExpCost=34.2410.
Iter 266 : Cost=28.9311, ExpCost=34.1879.
Iter 267 : Cost=32.4511, ExpCost=34.1705.
Iter 268 : Cost=29.7102, ExpCost=34.1259.
Iter 269 : Cost=33.7345, ExpCost=34.1220.
Iter 270 : Cost=32.1964, ExpCost=34.1027.
Iter 271 : Cost=31.1660, ExpCost=34.0734.
Iter 272 : Cost=34.4097, ExpCost=34.0767.
Iter 273 : Cost=35.8324, ExpCost=34.0943.
Iter 274 : Cost=27.2842, ExpCost=34.0262.
Iter 275 : Cost=31.0007, ExpCost=33.9959.
Iter 276 : Cost=29.9768, ExpCost=33.9557.
Iter 277 : Cost=31.1936, ExpCost=33.9281.
Iter 278 : Cost=33.1577, ExpCost=33.9204.
Iter 279 : Cost=32.5534, ExpCost=33.9067.
Iter 280 : Cost=24.7442, ExpCost=33.8151.
Iter 281 : Cost=29.2582, ExpCost=33.7696.
Iter 282 : Cost=30.5151, ExpCost=33.7370.
