models/RNTN_wvecDim_30_step_10e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 218 : Cost=24.0148, ExpCost=21.9560.
Iter 219 : Cost=23.3454, ExpCost=21.9699.
Iter 220 : Cost=23.8774, ExpCost=21.9890.
Iter 221 : Cost=22.4091, ExpCost=21.9932.
Iter 222 : Cost=23.6883, ExpCost=22.0101.
Iter 223 : Cost=23.2928, ExpCost=22.0229.
Iter 224 : Cost=23.1466, ExpCost=22.0342.
Iter 225 : Cost=25.3544, ExpCost=22.0674.
Iter 226 : Cost=24.3192, ExpCost=22.0899.
Iter 227 : Cost=21.9946, ExpCost=22.0889.
Iter 228 : Cost=24.8818, ExpCost=22.1169.
Iter 229 : Cost=19.8692, ExpCost=22.0944.
Iter 230 : Cost=23.4817, ExpCost=22.1083.
Iter 231 : Cost=23.4680, ExpCost=22.1219.
Iter 232 : Cost=23.5065, ExpCost=22.1357.
Iter 233 : Cost=17.0954, ExpCost=22.0853.
Iter 234 : Cost=20.4548, ExpCost=22.0690.
Iter 235 : Cost=23.4053, ExpCost=22.0824.
Iter 236 : Cost=23.4549, ExpCost=22.0961.
Iter 237 : Cost=19.7791, ExpCost=22.0729.
Iter 238 : Cost=20.5069, ExpCost=22.0573.
Iter 239 : Cost=20.2165, ExpCost=22.0389.
Iter 240 : Cost=20.5657, ExpCost=22.0241.
Iter 241 : Cost=24.8852, ExpCost=22.0527.
Iter 242 : Cost=21.6490, ExpCost=22.0487.
Iter 243 : Cost=22.4451, ExpCost=22.0527.
Iter 244 : Cost=18.6407, ExpCost=22.0185.
Iter 245 : Cost=21.6511, ExpCost=22.0149.
Iter 246 : Cost=19.5943, ExpCost=21.9907.
Iter 247 : Cost=17.7479, ExpCost=21.9482.
Iter 248 : Cost=19.1576, ExpCost=21.9203.
Iter 249 : Cost=24.4215, ExpCost=21.9453.
Iter 250 : Cost=20.9160, ExpCost=21.9350.
Iter 251 : Cost=17.4627, ExpCost=21.8903.
Iter 252 : Cost=20.6031, ExpCost=21.8774.
