models/RNN2_wvecDim_30_middleDim_30_step_5e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Testing netFile models/RNN2_wvecDim_30_middleDim_30_step_5e-2_2.bin
Testing RNN2...
Cost 21.259098, Acc 0.777402
fprop in trees cleared
Running epoch 1
running SGD
Iter 285 : Cost=20.8634, ExpCost=25.1625.
Iter 286 : Cost=16.0519, ExpCost=25.0714.
Iter 287 : Cost=22.4957, ExpCost=25.0456.
Iter 288 : Cost=20.2806, ExpCost=24.9980.
Iter 289 : Cost=20.5541, ExpCost=24.9535.
Iter 290 : Cost=20.9470, ExpCost=24.9135.
Iter 291 : Cost=18.6221, ExpCost=24.8505.
Iter 292 : Cost=20.4918, ExpCost=24.8070.
Iter 293 : Cost=22.5686, ExpCost=24.7846.
Iter 294 : Cost=20.1744, ExpCost=24.7385.
Iter 295 : Cost=20.4190, ExpCost=24.6953.
Iter 296 : Cost=21.0043, ExpCost=24.6584.
Iter 297 : Cost=18.8101, ExpCost=24.5999.
Iter 298 : Cost=15.9330, ExpCost=24.5132.
Iter 299 : Cost=18.0459, ExpCost=24.4485.
Iter 300 : Cost=19.4421, ExpCost=24.3985.
Iter 301 : Cost=20.7313, ExpCost=24.3618.
Iter 302 : Cost=20.4845, ExpCost=24.3230.
Iter 303 : Cost=20.5552, ExpCost=24.2854.
Iter 304 : Cost=17.2921, ExpCost=24.2154.
Iter 305 : Cost=20.8495, ExpCost=24.1818.
Iter 306 : Cost=16.8711, ExpCost=24.1087.
Iter 307 : Cost=19.5032, ExpCost=24.0626.
Iter 308 : Cost=17.3248, ExpCost=23.9952.
Iter 309 : Cost=19.8502, ExpCost=23.9538.
Iter 310 : Cost=20.4622, ExpCost=23.9189.
Iter 311 : Cost=16.6786, ExpCost=23.8465.
Iter 312 : Cost=22.8603, ExpCost=23.8366.
Iter 313 : Cost=21.1896, ExpCost=23.8101.
Iter 314 : Cost=17.0794, ExpCost=23.7428.
Iter 315 : Cost=19.5647, ExpCost=23.7010.
Iter 316 : Cost=16.4890, ExpCost=23.6289.
Iter 317 : Cost=21.4555, ExpCost=23.6072.
Iter 318 : Cost=17.8906, ExpCost=23.5500.
Iter 319 : Cost=16.7092, ExpCost=23.4816.
Iter 320 : Cost=17.7820, ExpCost=23.4246.
Iter 321 : Cost=23.8402, ExpCost=23.4288.
Iter 322 : Cost=22.1046, ExpCost=23.4155.
Iter 323 : Cost=21.1467, ExpCost=23.3928.
Iter 324 : Cost=17.7018, ExpCost=23.3359.
Iter 325 : Cost=15.1810, ExpCost=23.2544.
Iter 326 : Cost=18.2755, ExpCost=23.2046.
Iter 327 : Cost=18.1763, ExpCost=23.1543.
Iter 328 : Cost=23.5645, ExpCost=23.1584.
Iter 329 : Cost=20.0426, ExpCost=23.1272.
Iter 330 : Cost=15.4805, ExpCost=23.0508.
Iter 331 : Cost=21.3803, ExpCost=23.0341.
Iter 332 : Cost=20.6278, ExpCost=23.0100.
Iter 333 : Cost=17.6840, ExpCost=22.9568.
Iter 334 : Cost=18.6940, ExpCost=22.9141.
Iter 335 : Cost=22.6366, ExpCost=22.9114.
Iter 336 : Cost=19.6271, ExpCost=22.8785.
Iter 337 : Cost=17.4026, ExpCost=22.8237.
Iter 338 : Cost=20.2053, ExpCost=22.7976.
Iter 339 : Cost=19.8700, ExpCost=22.7683.
Iter 340 : Cost=19.1010, ExpCost=22.7316.
Iter 341 : Cost=18.0829, ExpCost=22.6851.
Iter 342 : Cost=16.7717, ExpCost=22.6260.
Iter 343 : Cost=19.9800, ExpCost=22.5995.
Iter 344 : Cost=17.6560, ExpCost=22.5501.
Iter 345 : Cost=17.7543, ExpCost=22.5021.
Iter 346 : Cost=16.5741, ExpCost=22.4429.
Iter 347 : Cost=15.4518, ExpCost=22.3729.
Iter 348 : Cost=19.9881, ExpCost=22.3491.
Iter 349 : Cost=18.7976, ExpCost=22.3136.
Iter 350 : Cost=19.2140, ExpCost=22.2826.
Iter 351 : Cost=20.2026, ExpCost=22.2618.
Iter 352 : Cost=20.1180, ExpCost=22.2404.
Iter 353 : Cost=19.4544, ExpCost=22.2125.
Iter 354 : Cost=20.6061, ExpCost=22.1964.
Iter 355 : Cost=16.9268, ExpCost=22.1437.
Iter 356 : Cost=18.5594, ExpCost=22.1079.
Iter 357 : Cost=18.3382, ExpCost=22.0702.
Iter 358 : Cost=18.1247, ExpCost=22.0307.
Iter 359 : Cost=17.7555, ExpCost=21.9880.
Iter 360 : Cost=19.3165, ExpCost=21.9613.
Iter 361 : Cost=15.8723, ExpCost=21.9004.
Iter 362 : Cost=20.6357, ExpCost=21.8877.
Iter 363 : Cost=22.5419, ExpCost=21.8943.
Iter 364 : Cost=19.4602, ExpCost=21.8699.
Iter 365 : Cost=20.1967, ExpCost=21.8532.
Iter 366 : Cost=18.5298, ExpCost=21.8200.
Iter 367 : Cost=19.1709, ExpCost=21.7935.
Iter 368 : Cost=17.0735, ExpCost=21.7463.
Iter 369 : Cost=20.2042, ExpCost=21.7309.
Iter 370 : Cost=17.2470, ExpCost=21.6860.
Iter 371 : Cost=15.6676, ExpCost=21.6258.
Iter 372 : Cost=22.1673, ExpCost=21.6312.
Iter 373 : Cost=16.1852, ExpCost=21.5768.
Iter 374 : Cost=19.1519, ExpCost=21.5525.
Iter 375 : Cost=17.1610, ExpCost=21.5086.
Iter 376 : Cost=19.9753, ExpCost=21.4933.
Iter 377 : Cost=20.3759, ExpCost=21.4821.
Iter 378 : Cost=18.0836, ExpCost=21.4481.
Iter 379 : Cost=22.8717, ExpCost=21.4624.
Iter 380 : Cost=19.3814, ExpCost=21.4416.
Iter 381 : Cost=17.3565, ExpCost=21.4007.
Iter 382 : Cost=20.5100, ExpCost=21.3918.
Iter 383 : Cost=18.9930, ExpCost=21.3678.
Iter 384 : Cost=18.2295, ExpCost=21.3364.
Iter 385 : Cost=17.9375, ExpCost=21.3024.
Iter 386 : Cost=17.1725, ExpCost=21.2611.
Iter 387 : Cost=16.2318, ExpCost=21.2108.
Iter 388 : Cost=16.9013, ExpCost=21.1678.
Iter 389 : Cost=18.5897, ExpCost=21.1420.
Iter 390 : Cost=18.2445, ExpCost=21.1130.
Iter 391 : Cost=17.0213, ExpCost=21.0721.
Iter 392 : Cost=17.9378, ExpCost=21.0407.
Iter 393 : Cost=19.1845, ExpCost=21.0222.
Iter 394 : Cost=19.6258, ExpCost=21.0082.
Iter 395 : Cost=21.8959, ExpCost=21.0171.
Iter 396 : Cost=20.9478, ExpCost=21.0164.
Iter 397 : Cost=16.5018, ExpCost=20.9712.
Iter 398 : Cost=20.1855, ExpCost=20.9634.
Iter 399 : Cost=15.0924, ExpCost=20.9047.
Iter 400 : Cost=16.4247, ExpCost=20.8599.
Iter 401 : Cost=18.8761, ExpCost=20.8400.
Iter 402 : Cost=18.5386, ExpCost=20.8170.
Iter 403 : Cost=17.9605, ExpCost=20.7885.
Iter 404 : Cost=18.4765, ExpCost=20.7653.
Iter 405 : Cost=16.3456, ExpCost=20.7211.
Iter 406 : Cost=17.8824, ExpCost=20.6928.
Iter 407 : Cost=16.9432, ExpCost=20.6553.
Iter 408 : Cost=17.0468, ExpCost=20.6192.
Iter 409 : Cost=18.2669, ExpCost=20.5957.
Iter 410 : Cost=17.6179, ExpCost=20.5659.
Iter 411 : Cost=20.4938, ExpCost=20.5652.
Iter 412 : Cost=17.8871, ExpCost=20.5384.
Iter 413 : Cost=16.1230, ExpCost=20.4942.
Iter 414 : Cost=17.1392, ExpCost=20.4607.
Iter 415 : Cost=17.1807, ExpCost=20.4279.
Iter 416 : Cost=14.4254, ExpCost=20.3678.
Iter 417 : Cost=19.1206, ExpCost=20.3554.
Iter 418 : Cost=13.9853, ExpCost=20.2917.
Iter 419 : Cost=17.5045, ExpCost=20.2638.
Iter 420 : Cost=19.4985, ExpCost=20.2562.
Iter 421 : Cost=19.0253, ExpCost=20.2438.
Iter 422 : Cost=16.9250, ExpCost=20.2107.
Iter 423 : Cost=18.1338, ExpCost=20.1899.
Iter 424 : Cost=21.7826, ExpCost=20.2058.
Iter 425 : Cost=19.4981, ExpCost=20.1987.
Iter 426 : Cost=19.4104, ExpCost=20.1909.
Iter 427 : Cost=20.1258, ExpCost=20.1902.
Iter 428 : Cost=17.6723, ExpCost=20.1650.
Iter 429 : Cost=21.7481, ExpCost=20.1809.
Iter 430 : Cost=18.0765, ExpCost=20.1598.
Iter 431 : Cost=21.2360, ExpCost=20.1706.
Iter 432 : Cost=19.9201, ExpCost=20.1681.
Iter 433 : Cost=23.0322, ExpCost=20.1967.
Iter 434 : Cost=19.0192, ExpCost=20.1849.
Iter 435 : Cost=15.7635, ExpCost=20.1407.
Iter 436 : Cost=17.7463, ExpCost=20.1168.
Iter 437 : Cost=17.9004, ExpCost=20.0946.
Iter 438 : Cost=20.7229, ExpCost=20.1009.
Iter 439 : Cost=18.2065, ExpCost=20.0819.
Iter 440 : Cost=18.3027, ExpCost=20.0642.
Iter 441 : Cost=18.2960, ExpCost=20.0465.
Iter 442 : Cost=21.2761, ExpCost=20.0588.
Iter 443 : Cost=17.7197, ExpCost=20.0354.
Iter 444 : Cost=22.1336, ExpCost=20.0564.
Iter 445 : Cost=16.6379, ExpCost=20.0222.
Iter 446 : Cost=20.4083, ExpCost=20.0260.
Iter 447 : Cost=19.1031, ExpCost=20.0168.
Iter 448 : Cost=17.9864, ExpCost=19.9965.
Iter 449 : Cost=23.0464, ExpCost=20.0270.
Iter 450 : Cost=18.5867, ExpCost=20.0126.
Iter 451 : Cost=17.6160, ExpCost=19.9886.
Iter 452 : Cost=22.5541, ExpCost=20.0143.
Iter 453 : Cost=17.2915, ExpCost=19.9871.
Iter 454 : Cost=19.4445, ExpCost=19.9816.
Iter 455 : Cost=19.6744, ExpCost=19.9786.
Iter 456 : Cost=15.9515, ExpCost=19.9383.
Iter 457 : Cost=18.2919, ExpCost=19.9218.
Iter 458 : Cost=16.5007, ExpCost=19.8876.
Iter 459 : Cost=13.8865, ExpCost=19.8276.
Iter 460 : Cost=21.2550, ExpCost=19.8419.
Iter 461 : Cost=16.9368, ExpCost=19.8128.
Iter 462 : Cost=20.2740, ExpCost=19.8174.
Iter 463 : Cost=22.2154, ExpCost=19.8414.
Iter 464 : Cost=16.6983, ExpCost=19.8100.
Iter 465 : Cost=18.2573, ExpCost=19.7945.
Iter 466 : Cost=20.6023, ExpCost=19.8025.
Iter 467 : Cost=19.1708, ExpCost=19.7962.
Iter 468 : Cost=17.5200, ExpCost=19.7735.
Iter 469 : Cost=16.2831, ExpCost=19.7386.
